
Size 1024
43.411046 2170552320 50
50.477961 2170552320 43
51.679817 2170552320 42
50.477961 2170552320 43
50.477961 2170552320 43
50.477961 2170552320 43
50.477961 2170552320 43
50.477961 2170552320 43
50.477961 2170552320 43
50.477961 2170552320 43

Size 2048
71.668647 17272143872 241
71.668647 17272143872 241
70.211967 17272143872 246
71.668647 17272143872 241
72.572033 17272143872 238
72.268384 17272143872 239
71.668647 17272143872 241
72.572033 17272143872 238
72.572033 17272143872 238
71.668647 17272143872 241

Size 4096
27.907665 137808052224 4938
28.141322 137808052224 4897
28.055385 137808052224 4912
28.210451 137808052224 4885
28.078250 137808052224 4908
27.975650 137808052224 4926
28.095423 137808052224 4905
28.049675 137808052224 4913
28.061098 137808052224 4911
28.066813 137808052224 4910
