
Size 1024
39.350198 2164260864 55
48.094686 2164260864 45
48.094686 2164260864 45
48.094686 2164260864 45
48.094686 2164260864 45
49.187747 2164260864 44
48.094686 2164260864 45
48.094686 2164260864 45
48.094686 2164260864 45
48.094686 2164260864 45

Size 2048
63.175744 17246978048 273
63.408008 17246978048 272
62.489051 17246978048 276
62.263459 17246978048 277
63.408008 17246978048 272
62.489051 17246978048 276
62.716284 17246978048 275
60.728796 17246978048 284
62.945175 17246978048 274
62.945175 17246978048 274

Size 4096
27.802824 137707388928 4953
28.247670 137707388928 4875
27.853436 137707388928 4944
27.926869 137707388928 4931
27.802824 137707388928 4953
27.915546 137707388928 4933
27.819675 137707388928 4950
28.012081 137707388928 4916
28.230297 137707388928 4878
28.288289 137707388928 4868
