
Size 1024
50.965671 2191523840 43
64.456584 2191523840 34
62.614967 2191523840 35
64.456584 2191523840 34
64.456584 2191523840 34
66.409813 2191523840 33
64.456584 2191523840 34
64.456584 2191523840 34
64.456584 2191523840 34
64.456584 2191523840 34

Size 2048
86.780150 17356029952 200
80.351991 17356029952 216
79.614816 17356029952 218
79.614816 17356029952 218
79.614816 17356029952 218
79.251278 17356029952 219
79.614816 17356029952 218
79.251278 17356029952 219
79.251278 17356029952 219
79.251278 17356029952 219

Size 4096
68.523609 138143596544 2016
66.671620 138143596544 2072
66.671620 138143596544 2072
66.575227 138143596544 2075
65.908204 138143596544 2096
66.479113 138143596544 2078
66.994955 138143596544 2062
67.190465 138143596544 2056
66.736037 138143596544 2070
66.607327 138143596544 2074
