
Size 1024
32.208499 2157969408 67
36.575753 2157969408 59
36.575753 2157969408 59
36.575753 2157969408 59
35.966157 2157969408 60
36.575753 2157969408 59
36.575753 2157969408 59
36.575753 2157969408 59
35.966157 2157969408 60
35.966157 2157969408 60

Size 2048
46.798403 17221812224 368
46.671578 17221812224 369
47.705851 17221812224 361
48.105621 17221812224 358
45.440138 17221812224 379
47.312671 17221812224 364
48.240370 17221812224 357
47.312671 17221812224 364
47.443009 17221812224 363
47.971622 17221812224 359

Size 4096
21.160499 137606725632 6503
21.225779 137606725632 6483
21.157246 137606725632 6504
21.144242 137606725632 6508
21.186563 137606725632 6495
21.193089 137606725632 6493
21.167009 137606725632 6501
21.199619 137606725632 6491
21.150742 137606725632 6506
21.147491 137606725632 6507
