
Size 1024
46.315825 2176843776 47
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44
49.473722 2176843776 44

Size 2048
77.915809 17297309696 222
77.915809 17297309696 222
77.566411 17297309696 223
77.566411 17297309696 223
76.876932 17297309696 225
77.915809 17297309696 222
77.566411 17297309696 223
77.915809 17297309696 222
77.915809 17297309696 222
77.915809 17297309696 222

Size 4096
32.811971 137908715520 4203
33.055780 137908715520 4172
33.644478 137908715520 4099
33.191027 137908715520 4155
33.875882 137908715520 4071
32.945226 137908715520 4186
33.693798 137908715520 4093
33.295199 137908715520 4142
33.892533 137908715520 4069
33.875882 137908715520 4071
