
Size 1024
45.307221 2174746624 48
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40
54.368666 2174746624 40

Size 2048
75.828601 17288921088 228
75.828601 17288921088 228
75.828601 17288921088 228
75.497472 17288921088 229
75.828601 17288921088 228
76.162648 17288921088 227
75.828601 17288921088 228
75.169222 17288921088 230
75.828601 17288921088 228
75.828601 17288921088 228

Size 4096
30.084041 137875161088 4583
30.097176 137875161088 4581
31.011057 137875161088 4446
30.858362 137875161088 4468
30.516857 137875161088 4518
30.584552 137875161088 4508
31.004084 137875161088 4447
30.584552 137875161088 4508
30.564212 137875161088 4511
30.789451 137875161088 4478
