
Size 1024
28.366740 2155872256 76
31.244525 2155872256 69
31.704004 2155872256 68
31.704004 2155872256 68
31.704004 2155872256 68
31.704004 2155872256 68
31.704004 2155872256 68
31.704004 2155872256 68
31.244525 2155872256 69
31.704004 2155872256 68

Size 2048
41.881809 17213423616 411
41.478129 17213423616 415
40.790103 17213423616 422
40.312467 17213423616 427
41.378422 17213423616 416
41.678992 17213423616 413
40.790103 17213423616 422
41.578318 17213423616 414
40.693673 17213423616 423
40.984342 17213423616 420

Size 4096
17.608239 137573171200 7813
17.635325 137573171200 7801
17.612748 137573171200 7811
17.596978 137573171200 7818
17.657961 137573171200 7791
17.581236 137573171200 7825
17.590228 137573171200 7821
17.608239 137573171200 7813
17.561038 137573171200 7834
17.574498 137573171200 7828
