
Size 1024
50.916900 2189426688 43
66.346263 2189426688 33
64.394903 2189426688 34
66.346263 2189426688 33
64.394903 2189426688 34
64.394903 2189426688 34
64.394903 2189426688 34
64.394903 2189426688 34
64.394903 2189426688 34
66.346263 2189426688 33

Size 2048
85.037458 17347641344 204
78.496115 17347641344 221
78.496115 17347641344 221
78.496115 17347641344 221
77.792114 17347641344 223
77.792114 17347641344 223
77.792114 17347641344 223
77.792114 17347641344 223
77.444827 17347641344 224
77.444827 17347641344 224

Size 4096
60.468495 138110042112 2284
59.427729 138110042112 2324
59.530191 138110042112 2320
59.427729 138110042112 2324
60.257435 138110042112 2292
60.415591 138110042112 2286
58.496418 138110042112 2361
59.147770 138110042112 2335
59.865645 138110042112 2307
59.943595 138110042112 2304
