
Size 1024
40.117741 2166358016 54
45.132459 2166358016 48
45.132459 2166358016 48
45.132459 2166358016 48
45.132459 2166358016 48
45.132459 2166358016 48
46.092724 2166358016 47
45.132459 2166358016 48
45.132459 2166358016 48
45.132459 2166358016 48

Size 2048
64.385696 17255366656 268
63.908765 17255366656 270
65.609759 17255366656 263
65.114591 17255366656 265
65.609759 17255366656 263
65.361237 17255366656 264
64.626841 17255366656 267
65.361237 17255366656 264
65.609759 17255366656 263
64.385696 17255366656 268

Size 4096
28.121875 137740943360 4898
28.295181 137740943360 4868
28.179407 137740943360 4888
28.018906 137740943360 4916
28.295181 137740943360 4868
28.018906 137740943360 4916
28.179407 137740943360 4888
28.225603 137740943360 4880
28.121875 137740943360 4898
28.494196 137740943360 4834
