
Size 1024
34.839783 2160066560 62
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56
38.572617 2160066560 56

Size 2048
53.509940 17230200832 322
53.179632 17230200832 324
53.016003 17230200832 325
52.531100 17230200832 328
52.691746 17230200832 327
53.016003 17230200832 325
51.433435 17230200832 335
52.371431 17230200832 329
52.371431 17230200832 329
52.691746 17230200832 327

Size 4096
24.530437 137640280064 5611
24.495512 137640280064 5619
24.443310 137640280064 5631
24.387009 137640280064 5644
24.486796 137640280064 5621
24.425959 137640280064 5635
24.443310 137640280064 5631
24.512962 137640280064 5615
24.438970 137640280064 5632
24.417293 137640280064 5637
