
Size 1024
50.868129 2187329536 43
64.333222 2187329536 34
62.495130 2187329536 35
64.333222 2187329536 34
64.333222 2187329536 34
62.495130 2187329536 35
64.333222 2187329536 34
64.333222 2187329536 34
64.333222 2187329536 34
64.333222 2187329536 34

Size 2048
83.764506 17339252736 207
77.754497 17339252736 223
77.407378 17339252736 224
77.407378 17339252736 224
77.063345 17339252736 225
76.722357 17339252736 226
76.722357 17339252736 226
77.063345 17339252736 225
77.063345 17339252736 225
76.722357 17339252736 226

Size 4096
55.407900 138076487680 2492
54.211420 138076487680 2547
53.352584 138076487680 2588
53.936128 138076487680 2560
54.339428 138076487680 2541
53.915067 138076487680 2561
53.024765 138076487680 2604
54.489537 138076487680 2534
53.705363 138076487680 2571
53.373207 138076487680 2587
