
Size 1024
36.646843 2162163712 59
37.932697 2162163712 57
37.278685 2162163712 58
37.932697 2162163712 57
37.932697 2162163712 57
37.932697 2162163712 57
37.932697 2162163712 57
37.932697 2162163712 57
37.932697 2162163712 57
37.932697 2162163712 57

Size 2048
58.634658 17238589440 294
57.081422 17238589440 302
58.435896 17238589440 295
58.238478 17238589440 296
58.238478 17238589440 296
58.042389 17238589440 297
57.847616 17238589440 298
57.654145 17238589440 299
57.847616 17238589440 298
57.847616 17238589440 298

Size 4096
26.889421 137673834496 5120
26.779583 137673834496 5141
26.805653 137673834496 5136
26.842237 137673834496 5129
26.816096 137673834496 5134
26.784793 137673834496 5140
26.873675 137673834496 5123
26.743169 137673834496 5148
26.748365 137673834496 5147
26.936771 137673834496 5111
