
Size 1024
52.328936 2197815296 42
62.794723 2197815296 35
64.641626 2197815296 34
66.600464 2197815296 33
66.600464 2197815296 33
64.641626 2197815296 34
64.641626 2197815296 34
64.641626 2197815296 34
66.600464 2197815296 33
66.600464 2197815296 33

Size 2048
89.134337 17381195776 195
81.220541 17381195776 214
80.842771 17381195776 215
80.468499 17381195776 216
80.097676 17381195776 217
80.097676 17381195776 217
80.097676 17381195776 217
80.097676 17381195776 217
80.097676 17381195776 217
80.097676 17381195776 217

Size 4096
88.109790 138244259840 1569
85.866000 138244259840 1610
87.718439 138244259840 1576
87.330549 138244259840 1583
87.220353 138244259840 1585
87.607262 138244259840 1578
85.812700 138244259840 1611
87.275417 138244259840 1584
84.553064 138244259840 1635
85.653197 138244259840 1614
