
Size 1024
23.410599 2153775104 92
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89
24.199720 2153775104 89

Size 2048
30.559565 17205035008 563
29.973929 17205035008 574
30.888752 17205035008 557
29.663853 17205035008 580
29.561916 17205035008 582
30.397588 17205035008 566
30.237320 17205035008 569
29.663853 17205035008 580
29.612797 17205035008 581
30.613941 17205035008 562

Size 4096
13.617784 137539616768 10100
13.597589 137539616768 10115
13.624529 137539616768 10095
13.625878 137539616768 10094
13.612393 137539616768 10104
13.621830 137539616768 10097
13.643450 137539616768 10081
13.605660 137539616768 10109
13.640744 137539616768 10083
13.607006 137539616768 10108
