
Size 1024
47.459462 2183135232 46
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36
60.642645 2183135232 36

Size 2048
80.569654 17322475520 215
75.315111 17322475520 230
75.315111 17322475520 230
74.989072 17322475520 231
74.665843 17322475520 232
74.665843 17322475520 232
74.665843 17322475520 232
74.345388 17322475520 233
74.665843 17322475520 232
74.665843 17322475520 232

Size 4096
44.333241 138009378816 3113
42.608638 138009378816 3239
43.563567 138009378816 3168
42.940068 138009378816 3214
43.168401 138009378816 3197
42.860056 138009378816 3220
43.236021 138009378816 3192
43.276695 138009378816 3189
43.756937 138009378816 3154
43.154903 138009378816 3198
