
Size 1024
41.701061 2168455168 52
51.629885 2168455168 42
50.429190 2168455168 43
50.429190 2168455168 43
50.429190 2168455168 43
50.429190 2168455168 43
51.629885 2168455168 42
51.629885 2168455168 42
51.629885 2168455168 42
51.629885 2168455168 42

Size 2048
69.611916 17263755264 248
68.779901 17263755264 251
68.779901 17263755264 251
67.967540 17263755264 254
69.332350 17263755264 249
69.055021 17263755264 250
68.506965 17263755264 252
67.701001 17263755264 255
67.967540 17263755264 254
67.701001 17263755264 255

Size 4096
28.100040 137774497792 4903
28.495243 137774497792 4835
28.518836 137774497792 4831
28.168983 137774497792 4891
28.111507 137774497792 4901
28.134470 137774497792 4897
28.168983 137774497792 4891
28.186272 137774497792 4888
28.082857 137774497792 4906
28.151716 137774497792 4894
