
Size 1024
47.368281 2178940928 46
49.521385 2178940928 44
58.890295 2178940928 37
58.890295 2178940928 37
57.340551 2178940928 38
58.890295 2178940928 37
57.340551 2178940928 38
58.890295 2178940928 37
57.340551 2178940928 38
58.890295 2178940928 37

Size 2048
79.749762 17305698304 217
79.749762 17305698304 217
79.383937 17305698304 218
79.749762 17305698304 217
79.749762 17305698304 217
79.383937 17305698304 218
79.383937 17305698304 218
79.383937 17305698304 218
79.383937 17305698304 218
79.021453 17305698304 219

Size 4096
35.533815 137942269952 3882
36.072769 137942269952 3824
36.784605 137942269952 3750
36.540999 137942269952 3775
37.021543 137942269952 3726
36.425210 137942269952 3787
36.686774 137942269952 3760
36.405983 137942269952 3789
36.628324 137942269952 3766
36.271962 137942269952 3803
