
Size 1024
45.263531 2172649472 48
49.378397 2172649472 44
49.378397 2172649472 44
49.378397 2172649472 44
49.378397 2172649472 44
49.378397 2172649472 44
50.526732 2172649472 43
49.378397 2172649472 44
49.378397 2172649472 44
49.378397 2172649472 44

Size 2048
75.460841 17280532480 229
74.807500 17280532480 231
72.607279 17280532480 238
74.807500 17280532480 231
74.807500 17280532480 231
74.485054 17280532480 232
74.165375 17280532480 233
74.807500 17280532480 231
74.807500 17280532480 231
74.485054 17280532480 232

Size 4096
27.993828 137841606656 4924
28.119463 137841606656 4902
28.263606 137841606656 4877
28.067930 137841606656 4911
28.165428 137841606656 4894
28.033680 137841606656 4917
28.096536 137841606656 4906
28.027980 137841606656 4918
28.148174 137841606656 4897
28.050795 137841606656 4914
