
Size 1024
8.809757 2149580800 244
8.809757 2149580800 244
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243
8.846012 2149580800 243

Size 2048
6.864320 17188257792 2504
6.842459 17188257792 2512
6.853372 17188257792 2508
6.902915 17188257792 2490
9.952668 17188257792 1727
6.864320 17188257792 2504
6.812627 17188257792 2523
6.919588 17188257792 2484
6.869807 17188257792 2502
11.645161 17188257792 1476

Size 4096
4.342974 137472507904 31654
4.328071 137472507904 31763
4.340780 137472507904 31670
4.349432 137472507904 31607
4.322491 137472507904 31804
4.343111 137472507904 31653
4.337630 137472507904 31693
4.345445 137472507904 31636
4.323987 137472507904 31793
4.355496 137472507904 31563
