
Size 1024
48.467513 2181038080 45
58.946975 2181038080 37
58.946975 2181038080 37
58.946975 2181038080 37
58.946975 2181038080 37
60.584391 2181038080 36
58.946975 2181038080 37
58.946975 2181038080 37
58.946975 2181038080 37
58.946975 2181038080 37

Size 2048
81.670221 17314086912 212
76.611004 17314086912 226
76.273511 17314086912 227
75.938978 17314086912 228
75.938978 17314086912 228
75.607366 17314086912 229
75.607366 17314086912 229
75.607366 17314086912 229
75.278639 17314086912 230
75.278639 17314086912 230

Size 4096
39.042395 137975824384 3534
39.342978 137975824384 3507
39.119882 137975824384 3527
38.713755 137975824384 3564
39.197677 137975824384 3520
38.486980 137975824384 3585
39.354200 137975824384 3506
38.757254 137975824384 3560
38.965214 137975824384 3541
38.987235 137975824384 3539
