
Size 1024
52.279003 2195718144 42
66.536913 2195718144 33
66.536913 2195718144 33
66.536913 2195718144 33
66.536913 2195718144 33
68.616192 2195718144 32
64.579945 2195718144 34
64.579945 2195718144 34
66.536913 2195718144 33
66.536913 2195718144 33

Size 2048
88.186838 17372807168 197
81.562475 17372807168 213
81.181342 17372807168 214
81.181342 17372807168 214
80.803754 17372807168 215
80.803754 17372807168 215
80.803754 17372807168 215
80.429663 17372807168 216
80.429663 17372807168 216
80.429663 17372807168 216

Size 4096
81.636566 138210705408 1693
80.967021 138210705408 1707
79.936787 138210705408 1729
80.122148 138210705408 1725
81.014481 138210705408 1706
81.781482 138210705408 1690
81.444140 138210705408 1697
81.300415 138210705408 1700
80.636351 138210705408 1714
78.528810 138210705408 1760
