
Size 1024
50.819358 2185232384 43
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39
56.031600 2185232384 39

Size 2048
82.527924 17330864128 210
77.026063 17330864128 225
77.026063 17330864128 225
76.685240 17330864128 226
76.685240 17330864128 226
76.347419 17330864128 227
76.012562 17330864128 228
76.012562 17330864128 228
76.347419 17330864128 227
76.012562 17330864128 228

Size 4096
48.470131 138042933248 2848
48.487156 138042933248 2847
48.504193 138042933248 2846
48.658066 138042933248 2837
48.385185 138042933248 2853
47.848504 138042933248 2885
47.898311 138042933248 2882
48.014933 138042933248 2875
48.436117 138042933248 2850
48.453118 138042933248 2849
