
Size 1024
16.551369 2151677952 130
16.942346 2151677952 127
16.942346 2151677952 127
16.942346 2151677952 127
16.942346 2151677952 127
16.942346 2151677952 127
16.809984 2151677952 128
16.942346 2151677952 127
16.942346 2151677952 127
16.942346 2151677952 127

Size 2048
17.801911 17196646400 966
18.236104 17196646400 943
18.139922 17196646400 948
17.765131 17196646400 968
17.875932 17196646400 962
18.025835 17196646400 954
17.913173 17196646400 960
18.333312 17196646400 938
17.111091 17196646400 1005
17.765131 17196646400 968

Size 4096
8.315055 137506062336 16537
8.313044 137506062336 16541
8.317067 137506062336 16533
8.319583 137506062336 16528
8.315558 137506062336 16536
8.310532 137506062336 16546
8.313044 137506062336 16541
8.321093 137506062336 16525
8.317570 137506062336 16532
8.297994 137506062336 16571
