
Size 1024
43.411046 2170552320 50
51.679817 2170552320 42
52.940300 2170552320 41
51.679817 2170552320 42
52.940300 2170552320 41
51.679817 2170552320 42
52.940300 2170552320 41
52.940300 2170552320 41
52.940300 2170552320 41
52.940300 2170552320 41

Size 2048
69.088575 17272143872 250
68.269343 17272143872 253
69.088575 17272143872 250
68.269343 17272143872 253
68.000566 17272143872 254
67.206785 17272143872 257
68.813322 17272143872 251
68.813322 17272143872 251
66.431323 17272143872 260
68.540253 17272143872 252

Size 4096
25.557873 137808052224 5392
25.486971 137808052224 5407
26.124749 137808052224 5275
25.557873 137808052224 5392
25.482258 137808052224 5408
25.468130 137808052224 5411
25.463424 137808052224 5412
25.534195 137808052224 5397
25.482258 137808052224 5408
25.557873 137808052224 5392
