
Size 1024
20.502157 2152726528 105
21.314124 2152726528 101
21.314124 2152726528 101
21.314124 2152726528 101
21.527265 2152726528 100
21.105162 2152726528 102
21.314124 2152726528 101
21.314124 2152726528 101
21.314124 2152726528 101
21.314124 2152726528 101

Size 2048
16.273265 17200840704 1057
15.985911 17200840704 1076
16.045560 17200840704 1072
16.075552 17200840704 1070
16.166204 17200840704 1064
16.166204 17200840704 1064
16.075552 17200840704 1070
16.181412 17200840704 1063
16.105656 17200840704 1068
16.151024 17200840704 1065

Size 4096
10.807296 137522839552 12725
10.814094 137522839552 12717
10.797962 137522839552 12736
10.790337 137522839552 12745
10.782722 137522839552 12754
10.801354 137522839552 12732
10.786105 137522839552 12750
10.778497 137522839552 12759
10.798810 137522839552 12735
10.775119 137522839552 12763
