
Size 1024
26.948403 2155872256 80
30.798175 2155872256 70
30.798175 2155872256 70
30.798175 2155872256 70
30.798175 2155872256 70
31.244525 2155872256 69
31.244525 2155872256 69
31.244525 2155872256 69
31.244525 2155872256 69
31.244525 2155872256 69

Size 2048
24.142249 17213423616 713
23.644813 17213423616 728
24.312745 17213423616 708
24.278454 17213423616 709
23.940784 17213423616 719
24.176157 17213423616 712
24.108436 17213423616 714
24.244259 17213423616 710
23.677336 17213423616 727
24.041094 17213423616 716

Size 4096
14.396523 137573171200 9556
14.364955 137573171200 9577
14.345482 137573171200 9590
14.343986 137573171200 9591
14.358957 137573171200 9581
14.349971 137573171200 9587
14.351468 137573171200 9586
14.375462 137573171200 9570
14.379970 137573171200 9567
14.335018 137573171200 9597
