
Size 1024
33.231793 2160066560 65
35.410927 2160066560 61
35.410927 2160066560 61
35.410927 2160066560 61
35.410927 2160066560 61
35.410927 2160066560 61
35.410927 2160066560 61
34.839783 2160066560 62
35.410927 2160066560 61
35.410927 2160066560 61

Size 2048
31.384701 17230200832 549
32.757036 17230200832 526
31.557144 17230200832 546
31.731493 17230200832 543
32.448589 17230200832 531
31.731493 17230200832 543
32.326831 17230200832 533
30.713370 17230200832 561
31.790038 17230200832 542
31.157687 17230200832 553

Size 4096
14.551251 137640280064 9459
14.528212 137640280064 9474
14.517486 137640280064 9481
14.508304 137640280064 9487
14.526679 137640280064 9475
14.461051 137640280064 9518
14.515954 137640280064 9482
14.500662 137640280064 9492
14.517486 137640280064 9481
14.464090 137640280064 9516
