
Size 1024
8.882565 2149580800 242
8.882565 2149580800 242
8.919422 2149580800 241
8.882565 2149580800 242
8.882565 2149580800 242
8.919422 2149580800 241
8.882565 2149580800 242
8.882565 2149580800 242
8.919422 2149580800 241
8.882565 2149580800 242

Size 2048
5.493211 17188257792 3129
5.479202 17188257792 3137
5.458323 17188257792 3149
5.447942 17188257792 3155
5.425586 17188257792 3168
5.484447 17188257792 3134
5.422163 17188257792 3170
5.442767 17188257792 3158
5.422163 17188257792 3170
5.461791 17188257792 3147

Size 4096
4.167223 137472507904 32989
4.163310 137472507904 33020
4.170004 137472507904 32967
4.161672 137472507904 33033
4.163689 137472507904 33017
4.161294 137472507904 33036
4.166591 137472507904 32994
4.161672 137472507904 33033
4.175069 137472507904 32927
4.158650 137472507904 33057
