
Size 1024
22.671317 2153775104 95
23.410599 2153775104 92
23.410599 2153775104 92
23.410599 2153775104 92
23.667858 2153775104 91
23.667858 2153775104 91
23.667858 2153775104 91
23.410599 2153775104 92
23.410599 2153775104 92
23.410599 2153775104 92

Size 2048
18.660559 17205035008 922
18.620168 17205035008 924
18.620168 17205035008 924
18.460338 17205035008 932
18.322721 17205035008 939
18.803317 17205035008 915
18.600038 17205035008 925
18.762306 17205035008 917
18.782789 17205035008 916
18.782789 17205035008 916

Size 4096
12.480909 137539616768 11020
12.493380 137539616768 11009
12.476380 137539616768 11024
12.454914 137539616768 11043
12.477512 137539616768 11023
12.497921 137539616768 11005
12.479776 137539616768 11021
12.470724 137539616768 11029
12.493380 137539616768 11009
12.475249 137539616768 11025
