
Size 1024
38.647515 2164260864 56
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55
39.350198 2164260864 55

Size 2048
53.231414 17246978048 324
51.792727 17246978048 333
52.422426 17246978048 329
52.422426 17246978048 329
52.105674 17246978048 331
51.637659 17246978048 334
53.231414 17246978048 324
52.105674 17246978048 331
52.904841 17246978048 326
49.991241 17246978048 345

Size 4096
19.086263 137707388928 7215
19.073046 137707388928 7220
19.083618 137707388928 7216
19.083618 137707388928 7216
19.091555 137707388928 7213
19.096850 137707388928 7211
19.096850 137707388928 7211
19.368128 137707388928 7110
19.075688 137707388928 7219
19.102149 137707388928 7209
