
Size 1024
40.137159 2167406592 54
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51
42.498168 2167406592 51

Size 2048
59.929031 17259560960 288
62.308884 17259560960 277
61.862226 17259560960 279
61.641289 17259560960 280
60.559863 17259560960 285
60.987848 17259560960 283
61.862226 17259560960 279
60.137843 17259560960 287
61.204117 17259560960 282
61.862226 17259560960 279

Size 4096
22.222571 137757720576 6199
22.201083 137757720576 6205
22.218987 137757720576 6200
22.226157 137757720576 6198
22.447078 137757720576 6137
22.236920 137757720576 6195
22.218987 137757720576 6200
22.236920 137757720576 6195
22.229744 137757720576 6197
22.236920 137757720576 6195
