
Size 1024
13.441434 2150629376 160
13.525971 2150629376 159
13.525971 2150629376 159
13.611578 2150629376 158
13.525971 2150629376 159
13.525971 2150629376 159
13.525971 2150629376 159
13.611578 2150629376 158
13.525971 2150629376 159
13.611578 2150629376 158

Size 2048
10.149027 17192452096 1694
10.095392 17192452096 1703
10.059949 17192452096 1709
10.059949 17192452096 1709
9.966639 17192452096 1725
10.036458 17192452096 1713
10.125119 17192452096 1698
10.137059 17192452096 1696
10.059949 17192452096 1709
9.972420 17192452096 1724

Size 4096
6.882379 137489285120 19977
6.869312 137489285120 20015
6.862798 137489285120 20034
6.861085 137489285120 20039
6.850146 137489285120 20071
6.869999 137489285120 20013
6.863825 137489285120 20031
6.864511 137489285120 20029
6.864511 137489285120 20029
6.873090 137489285120 20004
