
Size 1024
43.432018 2171600896 50
52.965876 2171600896 41
54.290022 2171600896 40
52.965876 2171600896 41
52.965876 2171600896 41
52.965876 2171600896 41
52.965876 2171600896 41
52.965876 2171600896 41
54.290022 2171600896 40
52.965876 2171600896 41

Size 2048
70.804665 17276338176 244
71.096042 17276338176 243
70.804665 17276338176 244
65.940222 17276338176 262
70.804665 17276338176 244
69.662654 17276338176 248
69.382884 17276338176 249
69.944689 17276338176 247
68.285922 17276338176 253
69.944689 17276338176 247

Size 4096
26.520075 137824829440 5197
26.535393 137824829440 5194
27.990420 137824829440 4924
26.555844 137824829440 5190
26.663732 137824829440 5169
26.566081 137824829440 5188
26.555844 137824829440 5190
26.586580 137824829440 5184
26.586580 137824829440 5184
26.535393 137824829440 5194
