
Size 1024
40.156577 2168455168 54
47.140330 2168455168 46
47.140330 2168455168 46
47.140330 2168455168 46
47.140330 2168455168 46
47.140330 2168455168 46
47.140330 2168455168 46
47.140330 2168455168 46
48.187893 2168455168 45
48.187893 2168455168 45

Size 2048
64.177529 17263755264 269
62.099839 17263755264 278
62.324026 17263755264 277
57.738312 17263755264 299
64.416997 17263755264 268
64.901336 17263755264 266
63.006406 17263755264 274
62.099839 17263755264 278
64.177529 17263755264 269
63.469688 17263755264 272

Size 4096
23.272719 137774497792 5920
23.359528 137774497792 5898
23.371416 137774497792 5895
24.179449 137774497792 5698
23.383316 137774497792 5892
23.351610 137774497792 5900
23.339742 137774497792 5903
23.379348 137774497792 5893
23.347653 137774497792 5901
23.367452 137774497792 5896
