
Size 1024
42.539289 2169503744 51
51.654851 2169503744 42
51.654851 2169503744 42
51.654851 2169503744 42
50.453575 2169503744 43
51.654851 2169503744 42
51.654851 2169503744 42
51.654851 2169503744 42
51.654851 2169503744 42
51.654851 2169503744 42

Size 2048
67.452928 17267949568 256
66.671620 17267949568 259
66.160726 17267949568 261
66.930037 17267949568 258
67.452928 17267949568 256
63.955369 17267949568 270
65.657603 17267949568 263
64.673968 17267949568 267
65.908204 17267949568 262
65.908204 17267949568 262

Size 4096
24.323261 137791275008 5665
24.396472 137791275008 5648
24.645193 137791275008 5591
24.392153 137791275008 5649
24.361965 137791275008 5656
24.383521 137791275008 5651
24.361965 137791275008 5656
24.374894 137791275008 5653
24.387836 137791275008 5650
24.357659 137791275008 5657
