
Size 1024
36.664615 2163212288 59
36.664615 2163212288 59
37.296764 2163212288 58
36.664615 2163212288 59
36.664615 2163212288 59
36.664615 2163212288 59
36.664615 2163212288 59
37.296764 2163212288 58
36.664615 2163212288 59
36.664615 2163212288 59

Size 2048
49.265096 17242783744 350
47.370285 17242783744 364
47.500782 17242783744 363
47.370285 17242783744 364
47.500782 17242783744 363
44.903083 17242783744 384
46.227302 17242783744 373
47.111431 17242783744 366
46.602118 17242783744 370
46.855391 17242783744 368

Size 4096
17.951840 137690611712 7670
17.895842 137690611712 7694
17.851758 137690611712 7713
17.877254 137690611712 7702
17.895842 137690611712 7694
17.877254 137690611712 7702
17.881898 137690611712 7700
17.870294 137690611712 7705
17.886543 137690611712 7698
17.881898 137690611712 7700
