
Size 1024
28.380537 2156920832 76
30.379167 2156920832 71
30.379167 2156920832 71
30.379167 2156920832 71
30.813155 2156920832 70
30.379167 2156920832 71
30.813155 2156920832 70
30.379167 2156920832 71
30.813155 2156920832 70
30.813155 2156920832 70

Size 2048
25.621455 17217617920 672
25.697937 17217617920 670
25.813520 17217617920 667
25.583385 17217617920 673
25.697937 17217617920 670
26.206420 17217617920 657
25.507582 17217617920 675
25.545427 17217617920 674
26.047833 17217617920 661
25.357317 17217617920 679

Size 4096
14.467923 137589948416 9510
14.466402 137589948416 9511
14.442106 137589948416 9527
14.466402 137589948416 9511
14.460320 137589948416 9515
14.452726 137589948416 9520
14.425451 137589948416 9538
14.437560 137589948416 9530
14.445139 137589948416 9525
14.475534 137589948416 9505
