
Size 1024
39.388328 2166358016 55
44.211388 2166358016 49
45.132459 2166358016 48
44.211388 2166358016 49
45.132459 2166358016 48
44.211388 2166358016 49
45.132459 2166358016 48
45.132459 2166358016 48
44.211388 2166358016 49
45.132459 2166358016 48

Size 2048
58.098878 17255366656 297
56.206406 17255366656 307
57.710256 17255366656 299
56.390087 17255366656 306
57.517889 17255366656 300
56.206406 17255366656 307
56.206406 17255366656 307
57.710256 17255366656 299
57.710256 17255366656 299
56.023918 17255366656 308

Size 4096
21.151865 137740943360 6512
21.187655 137740943360 6501
21.161614 137740943360 6509
21.174626 137740943360 6505
21.302342 137740943360 6466
21.145370 137740943360 6514
21.203963 137740943360 6496
21.161614 137740943360 6509
21.168118 137740943360 6507
21.168118 137740943360 6507
