
Size 1024
24.768088 2154823680 87
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84
25.652663 2154823680 84

Size 2048
20.462817 17209229312 841
20.438515 17209229312 842
20.365952 17209229312 845
20.659339 17209229312 833
20.734011 17209229312 830
20.634568 17209229312 834
20.759022 17209229312 829
20.659339 17209229312 833
20.634568 17209229312 834
20.414270 17209229312 843

Size 4096
13.626191 137556393984 10095
13.592529 137556393984 10120
13.601938 137556393984 10113
13.599248 137556393984 10115
13.560370 137556393984 10144
13.560370 137556393984 10144
13.615401 137556393984 10103
13.557697 137556393984 10146
13.577771 137556393984 10131
13.573751 137556393984 10134
