
Size 1024
37.332921 2165309440 58
45.110613 2165309440 48
45.110613 2165309440 48
46.070414 2165309440 47
45.110613 2165309440 48
45.110613 2165309440 48
46.070414 2165309440 47
45.110613 2165309440 48
45.110613 2165309440 48
45.110613 2165309440 48

Size 2048
52.276280 17251172352 330
54.940039 17251172352 314
52.435174 17251172352 329
54.420102 17251172352 317
52.118345 17251172352 331
53.575069 17251172352 322
55.115567 17251172352 313
51.496037 17251172352 335
50.148757 17251172352 344
54.592318 17251172352 316

Size 4096
20.076409 137724166144 6860
20.076409 137724166144 6860
20.064710 137724166144 6864
20.067633 137724166144 6863
20.064710 137724166144 6864
20.096916 137724166144 6853
20.096916 137724166144 6853
20.214908 137724166144 6813
20.316295 137724166144 6779
20.096916 137724166144 6853
