
Size 1024
29.971797 2157969408 72
34.253483 2157969408 63
34.253483 2157969408 63
34.253483 2157969408 63
34.253483 2157969408 63
34.253483 2157969408 63
34.253483 2157969408 63
34.253483 2157969408 63
34.805958 2157969408 62
34.253483 2157969408 63

Size 2048
28.094310 17221812224 613
27.379670 17221812224 629
27.379670 17221812224 629
27.687801 17221812224 622
28.655262 17221812224 601
27.821991 17221812224 619
27.687801 17221812224 622
27.467005 17221812224 627
27.467005 17221812224 627
26.535920 17221812224 649

Size 4096
14.556937 137606725632 9453
14.517009 137606725632 9479
14.504767 137606725632 9487
14.506296 137606725632 9486
14.533875 137606725632 9468
14.509355 137606725632 9484
14.491020 137606725632 9496
14.491020 137606725632 9496
14.483394 137606725632 9501
14.509355 137606725632 9484
