
Size 1024
42.600970 2172649472 51
52.991451 2172649472 41
54.316237 2172649472 40
54.316237 2172649472 40
55.708961 2172649472 39
54.316237 2172649472 40
54.316237 2172649472 40
54.316237 2172649472 40
55.708961 2172649472 39
55.708961 2172649472 39

Size 2048
71.407159 17280532480 242
71.113302 17280532480 243
65.456562 17280532480 264
70.246067 17280532480 246
69.961670 17280532480 247
70.246067 17280532480 246
71.113302 17280532480 243
70.821854 17280532480 244
71.407159 17280532480 242
71.407159 17280532480 242

Size 4096
27.673481 137841606656 4981
27.679037 137841606656 4980
27.673481 137841606656 4981
27.667926 137841606656 4982
27.712426 137841606656 4974
27.712426 137841606656 4974
27.717999 137841606656 4973
27.829923 137841606656 4953
27.701288 137841606656 4976
27.751481 137841606656 4967
