
Size 1024
17.076809 2151677952 126
17.782462 2151677952 121
17.782462 2151677952 121
17.636705 2151677952 122
17.782462 2151677952 121
17.636705 2151677952 122
17.782462 2151677952 121
17.782462 2151677952 121
17.636705 2151677952 122
17.782462 2151677952 121

Size 2048
13.167417 17196646400 1306
13.207870 17196646400 1302
13.351434 17196646400 1288
13.107200 17196646400 1312
13.289526 17196646400 1294
13.107200 17196646400 1312
13.279264 17196646400 1295
13.137239 17196646400 1309
13.147283 17196646400 1308
13.137239 17196646400 1309

Size 4096
8.865068 137506062336 15511
8.845678 137506062336 15545
8.838287 137506062336 15558
8.847385 137506062336 15542
8.823541 137506062336 15584
8.826939 137506062336 15578
8.844540 137506062336 15547
8.844540 137506062336 15547
8.827506 137506062336 15577
8.838287 137506062336 15558
