
Size 1024
34.303415 2161115136 63
40.020651 2161115136 54
39.293002 2161115136 55
40.020651 2161115136 54
39.293002 2161115136 55
39.293002 2161115136 55
40.020651 2161115136 54
39.293002 2161115136 55
40.020651 2161115136 54
40.020651 2161115136 54

Size 2048
38.469632 17234395136 448
36.055220 17234395136 478
36.983681 17234395136 466
37.143093 17234395136 464
38.383954 17234395136 449
38.642142 17234395136 446
37.547702 17234395136 459
37.223316 17234395136 463
37.547702 17234395136 459
37.794726 17234395136 456

Size 4096
15.664208 137657057280 8788
15.626865 137657057280 8809
15.607376 137657057280 8820
15.602069 137657057280 8823
15.594999 137657057280 8827
15.598533 137657057280 8825
15.589701 137657057280 8830
15.584406 137657057280 8833
15.580878 137657057280 8835
15.609146 137657057280 8819
