
Size 1024
36.036062 2162163712 60
36.036062 2162163712 60
36.036062 2162163712 60
36.036062 2162163712 60
36.036062 2162163712 60
36.036062 2162163712 60
35.445307 2162163712 61
36.036062 2162163712 60
36.036062 2162163712 60
36.036062 2162163712 60

Size 2048
43.096474 17238589440 400
42.459580 17238589440 406
41.739926 17238589440 413
39.811985 17238589440 433
39.904142 17238589440 432
41.841237 17238589440 412
41.538770 17238589440 415
43.204485 17238589440 399
42.459580 17238589440 406
41.538770 17238589440 415

Size 4096
16.828485 137673834496 8181
16.824372 137673834496 8183
16.799736 137673834496 8195
16.791540 137673834496 8199
16.805888 137673834496 8192
16.789492 137673834496 8200
16.818206 137673834496 8186
16.791540 137673834496 8199
16.767000 137673834496 8211
16.783352 137673834496 8203
