
Size 1024
31.750264 2159017984 68
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64
33.734656 2159017984 64

Size 2048
30.010464 17226006528 574
30.542565 17226006528 564
30.815754 17226006528 559
28.425753 17226006528 606
30.274177 17226006528 569
30.651257 17226006528 562
30.815754 17226006528 559
29.345837 17226006528 587
29.854431 17226006528 577
30.815754 17226006528 559

Size 4096
14.569501 137623502848 9446
14.511124 137623502848 9484
14.491261 137623502848 9497
14.488210 137623502848 9499
14.488210 137623502848 9499
14.534112 137623502848 9469
14.465367 137623502848 9514
14.531042 137623502848 9471
14.498894 137623502848 9492
14.529508 137623502848 9472
